Date,Close
01-02-2024,48.15
01-03-2024,47.56
01-04-2024,47.98
01-05-2024,49.08
01-08-2024,52.24
01-09-2024,53.12
01-10-2024,54.33
01-11-2024,54.81
01-12-2024,54.69
01-16-2024,56.37
01-17-2024,56.04
01-18-2024,57.09
01-19-2024,59.47
01-22-2024,59.64
01-23-2024,59.86
01-24-2024,61.34
01-25-2024,61.6
01-26-2024,61.01
01-29-2024,62.45
01-30-2024,62.76
01-31-2024,61.51
02-01-2024,63.01
02-02-2024,66.14
02-05-2024,69.31
02-06-2024,68.2
02-07-2024,70.08
02-08-2024,69.62
02-09-2024,72.11
02-12-2024,72.23
02-13-2024,72.11
02-14-2024,73.88
02-15-2024,72.64
02-16-2024,72.59
02-20-2024,69.43
02-21-2024,67.45
02-22-2024,78.52
02-23-2024,78.79
02-26-2024,79.07
02-27-2024,78.68
02-28-2024,77.64
02-29-2024,79.09
03-01-2024,82.26
03-04-2024,85.21
03-05-2024,85.94
03-06-2024,88.68
03-07-2024,92.65
03-08-2024,87.51
03-11-2024,85.75
03-12-2024,91.89
03-13-2024,90.87
03-14-2024,87.92
03-15-2024,87.82
03-18-2024,88.43
03-19-2024,89.38
03-20-2024,90.35
03-21-2024,91.41
03-22-2024,94.27
03-25-2024,94.98
03-26-2024,92.54
03-27-2024,90.23
03-28-2024,90.33
04-01-2024,90.34
04-02-2024,89.43
04-03-2024,88.94
04-04-2024,85.88
04-05-2024,87.99
04-08-2024,87.11
04-09-2024,85.33
04-10-2024,87.02
04-11-2024,90.59
04-12-2024,88.17
04-15-2024,85.98
04-16-2024,87.39
04-17-2024,84.02
04-18-2024,84.65
04-19-2024,76.18
04-22-2024,79.5
04-23-2024,82.4
04-24-2024,79.66
04-25-2024,82.61
04-26-2024,87.71
04-29-2024,87.74
04-30-2024,86.38
05-01-2024,83.02
05-02-2024,85.8
05-03-2024,88.77
05-06-2024,92.12
05-07-2024,90.53
05-08-2024,90.39
05-09-2024,88.73
05-10-2024,89.86
05-13-2024,90.38
05-14-2024,91.33
05-15-2024,94.61
05-16-2024,94.34
05-17-2024,92.46
05-20-2024,94.76
05-21-2024,95.36
05-22-2024,94.93
05-23-2024,103.77
05-24-2024,106.44
05-28-2024,113.87
05-29-2024,114.8
05-30-2024,110.47
05-31-2024,109.61
06-03-2024,114.97
06-04-2024,116.41
06-05-2024,122.41
06-06-2024,120.97
06-07-2024,120.86
06-10-2024,121.76
06-11-2024,120.89
06-12-2024,125.18
06-13-2024,129.59
06-14-2024,131.86
06-17-2024,130.96
06-18-2024,135.56
06-20-2024,130.76
06-21-2024,126.55
06-24-2024,118.09
06-25-2024,126.07
06-26-2024,126.38
06-27-2024,123.97
06-28-2024,123.52
07-01-2024,124.28
07-02-2024,122.65
07-03-2024,128.26
07-05-2024,125.81
07-08-2024,128.18
07-09-2024,131.36
07-10-2024,134.89
07-11-2024,127.38
07-12-2024,129.22
07-15-2024,128.42
07-16-2024,126.34
07-17-2024,117.97
07-18-2024,121.07
07-19-2024,117.91
07-22-2024,123.52
07-23-2024,122.57
07-24-2024,114.23
07-25-2024,112.26
07-26-2024,113.04
07-29-2024,111.57
07-30-2024,103.71
07-31-2024,117.0
08-01-2024,109.19
08-02-2024,107.25
08-05-2024,100.43
08-06-2024,104.23
08-07-2024,98.89
08-08-2024,104.95
08-09-2024,104.73
08-12-2024,109.0
08-13-2024,116.12
08-14-2024,118.06
08-15-2024,122.84
08-16-2024,124.56
08-19-2024,129.98
08-20-2024,127.23
08-21-2024,128.48
08-22-2024,123.72
08-23-2024,129.35
08-26-2024,126.44
08-27-2024,128.28
08-28-2024,125.59
08-29-2024,117.57
08-30-2024,119.35
09-03-2024,107.98
09-04-2024,106.19
09-05-2024,107.19
09-06-2024,102.81
09-09-2024,106.45
09-10-2024,108.08
09-11-2024,116.89
09-12-2024,119.13
09-13-2024,119.09
09-16-2024,116.77
09-17-2024,115.58
09-18-2024,113.36
09-19-2024,117.86
09-20-2024,115.99
09-23-2024,116.25
09-24-2024,120.86
09-25-2024,123.5
09-26-2024,124.03
09-27-2024,121.39
09-30-2024,121.43
10-01-2024,116.99
10-02-2024,118.84
10-03-2024,122.84
10-04-2024,124.91
10-07-2024,127.71
10-08-2024,132.88
10-09-2024,132.64
10-10-2024,134.8
10-11-2024,134.79
10-14-2024,138.06
10-15-2024,131.59
10-16-2024,135.71
10-17-2024,136.92
10-18-2024,137.99
10-21-2024,143.7
10-22-2024,143.58
10-23-2024,139.55
10-24-2024,140.4
10-25-2024,141.53
10-28-2024,140.51
10-29-2024,141.24
10-30-2024,139.33
10-31-2024,132.75
11-01-2024,135.39
11-04-2024,136.04
11-05-2024,139.9
11-06-2024,145.6
11-07-2024,148.87
11-08-2024,147.62
11-11-2024,145.25
11-12-2024,148.28
11-13-2024,146.26
11-14-2024,146.75
11-15-2024,141.97
11-18-2024,140.14
11-19-2024,147.0
11-20-2024,145.88
11-21-2024,146.66
11-22-2024,141.94
11-25-2024,136.01
11-26-2024,136.91
11-27-2024,135.33
11-29-2024,138.24
12-02-2024,138.62
12-03-2024,140.25
12-04-2024,145.13
12-05-2024,145.06
12-06-2024,142.44
12-09-2024,138.81
12-10-2024,135.07
12-11-2024,139.31
12-12-2024,137.34
12-13-2024,134.25
12-16-2024,132.0
12-17-2024,130.39
12-18-2024,128.91
12-19-2024,130.68
12-20-2024,134.7
12-23-2024,139.67
12-24-2024,140.22
12-26-2024,139.93
12-27-2024,137.01
12-30-2024,137.49
